Reference,Type,Quantity,Value,Footprint,Price,Sum,SP,SPDip,SP Total,PN,URL,Description,,,,,
"DA4,",PN,1,CS42L52,QFN_DFN:QFN40,75,75,40,0,40,CS42L52,https://ru.aliexpress.com/item/32793385956.html?spm=a2g0s.9042311.0.0.27424c4dzHC7i7,,,,,,
"DA5,",PN,1,ADM3485,SO_DIL_TSSOP:SO8_150MIL,"49,3",160,8,0,8,ADM3485EARZ,https://www.terraelectronica.ru/product/25424,,,,,,
"DA6,",PN,1,PE4259,SOT:SC70,31,31,6,0,6,PE4259,https://www.terraelectronica.ru/product/1267775,,,,,,
"DA7, DA8",PN,2,MC74VHC1,SOT:SOT23-5,"2,5","3,6",5,0,5,MC74VHC1G14DFT1G,https://www.terraelectronica.ru/product/435342,,,,,,
"DD1,",PN,1,STM32F767Z,LQFP_TQFP:QFP-144_20x20_Pitch0.5mm 5,1490,1490,144,0,144,,https://www.terraelectronica.ru/product/2120933,,купили 5,,,,
"DD2,",PN,1,SX1276,QFN_DFN:QFN-28_EP_6x6_Pitch0.65mm,328,328,28,0,28,SX1276IMLTRT,https://www.terraelectronica.ru/product/1289335,,,,,,
"DD3,",PN,1,MT48LC16M16A2P-6AG,SO_DIL_TSSOP:TSSOP54_400MIL_P08,277,277,54,0,54,MT48LC16M16A2P-6AG,https://www.terraelectronica.ru/product/1200409,,купили 5,,,,
"HOLE1, HOLE2, HOLE3, HOLE4,",,4,HOLE_METALLED,PCB:Hole3_5_out6mm,,0,,,0,,,,,,,,
"L2,",,1,90R,Inductors:DLW21SN,"7,6","7,6",2,0,2,DLW21SN900SQ2,https://www.terraelectronica.ru/product/333735,,покупали ранее?,,,,
"L3, L1, L8, L14, L7",PN,4,BLM15AG102SN1,Inductors:IND_0402,"0,43","1,72",2,0,8,BLM15AG102SN1,https://www.terraelectronica.ru/product/225140,,,,,,
"L4,",Inductor,1,2.2uH,Inductors:IND_SRN2512,"10,3","10,3",2,0,2,SRN2512-2R2M,https://www.terraelectronica.ru/search?text=SRN2512-2R2M,,Any Inductor 2.2uH case SRN2512,,,,
"L5,",Inductor,1,10uH,Inductors:IND_SRN3015,"3,3","3,3","15,4",2,"17,4",SRN3015-100M,https://www.terraelectronica.ru/product/1638207,,Any Inductor 10uH case SRN3015,,,,
"L6,",,1,SBY100505T-102Y-N,Inductors:IND_0402,"0,16","0,16",2,0,2,SBY100505T-102Y-N,https://www.terraelectronica.ru/product/1922419,,,,,,
"L9,",Inductor,1,33nH,Inductors:IND_0402,1,1,2,0,2,LQG15HN33NJ02D,https://www.terraelectronica.ru/product/339131,,Any Inductor 33nH case 0402,,,,
"L10,",Inductor,1,2.2nH,Inductors:IND_0402,"1,2","1,2",2,0,2,LQG15HN2N2S02D,https://www.terraelectronica.ru/product/329804,,Any Inductor 2.2nH case 0402,,,,
"L11,",Inductor,1,10nH,Inductors:IND_0402,"0,96","0,96",2,0,2,LQG15HN10NJ02D,https://www.terraelectronica.ru/product/1025644,,Any Inductor 10nH case 0402,,,,
"L12,",Inductor,1,5.6nH,Inductors:IND_0402,"0,52","0,52",2,0,2,LQG15HS5N6S02D,https://www.terraelectronica.ru/product/867408,,Any Inductor 5.6nH case 0402,,,,
"L13,",Inductor,1,4.7nH,Inductors:IND_0402,"0,32","0,32",2,0,2,LQG15HS4N7S02D,https://www.terraelectronica.ru/product/1025621,,Any Inductor 4.7nH case 0402,,,,
"L15,",,1,L,Inductors:IND_0402,,0,,,0,,,,,,,,
"Logo1,",,1,Logo,Pictures:Ostranna_16d9_13d5,,0,,,0,,,,,,,,
"Q1,",PN,1,IRLML6401,SOT:SOT23-3,"5,6","5,6",3,0,3,IRLML6401,https://www.terraelectronica.ru/product/180111,,,,,,
"R1,",Resistor,1,1M,Resistors:RES_0603,"0,14","0,14",2,0,2,RC0603FR-071ML,https://www.terraelectronica.ru/product/441621,,Any Resistor 1M case 0603 1%,,,,
"R3,",Resistor,1,2R0,Resistors:RES_0603,"0,17","0,17",2,0,2,RC0603FR-072RL,https://www.terraelectronica.ru/product/679314,,Any Resistor 2R0 case 0603 1%,,,,
"R4,",Resistor,1,100R,Resistors:RES_0603,"0,14","0,14",2,0,2,RC0603FR-07100RL,https://www.terraelectronica.ru/product/538956,,Any Resistor 100R case 0603 1%,,,,
"R6, R8, R7, R21, R5,",Resistor,5,1k,Resistors:RES_0603,"0,14","0,7",2,0,10,RC0603FR-071KL,https://www.terraelectronica.ru/product/542464,,Any Resistor 1k case 0603 1%,,,,
"R9,",Resistor,1,18k,Resistors:RES_0603 100,"0,14","0,14",2,0,2,RC0603FR-0718KL,https://www.terraelectronica.ru/product/443966,,Any Resistor 18k case 0603 1%,,купили 100,,
"R10,",Resistor,1,5k6,Resistors:RES_0603 100,"0,12","0,12",2,0,2,CR-03FL7---5K6,https://www.terraelectronica.ru/product/2782071,,Any Resistor 5k6 case 0603 1%,,купили 100,,
"R12, R2, R17, R18, R11,",Resistor,5,100k,Resistors:RES_0603,"0,14","0,7",2,0,10,RC0603FR-07100KL,https://www.terraelectronica.ru/product/331000,,Any Resistor 100k case 0603 1%,,,,
"R14,",Resistor,1,20R,Resistors:RES_0603,"0,15","0,15",2,0,2,RC0603FR-0720RL,https://www.terraelectronica.ru/product/678706,,Any Resistor 20R case 0603 1%,,,,
"R15, R16,",Resistor,2,10k,Resistors:RES_0603,"0,12","0,24",2,0,4,CR0603-FX-1002ELF,https://www.terraelectronica.ru/product/357146,,Any Resistor 10k case 0603 1%,,,,
"R23, R19, R20, R13, R25,",Resistor,5,33R,Resistors:RES_0603 300,"0,14","0,7",2,0,10,RC0603FR-0733RL,https://www.terraelectronica.ru/product/821702,,Any Resistor 33R case 0603 1%,,купили 300,,
"TP3, TP21, TP10, TP9, TP8, TP20, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP4, TP5, TP6, TP7, TP22, TP23, TP24, TP25, TP27, TP26,",,25,TESTPOINT,PCB:TESTPOINT_1MM,0,0,0,0,0,-,-,,do not mount,,,,
"U1,",PN,1,USBLC6,SOT:SOT23-6,"5,6","5,6",5,0,5,USBLC6,https://www.terraelectronica.ru/product/244787,,,,,,
"XL1,",,1,CONN_6,Connectors:PLS-6_LOCK,"1,1","1,1",0,6,6,pls-6,https://www.terraelectronica.ru/product/2259227,,,,,,
"XL2,",,1,USB_MICRO_2H,Connectors:USBmicro_MOLEX_1050170001,50,50,5,0,5,50170001,https://onelec.ru/products/1050170001,,купили 50,,,,
"XL3,",,1,CONN_MICROSD,Installation:MICROSD_CAP_FIX05A,25,25,8,0,8,,как в бутылках или медведе,,,,,,
"XL4,",,1,CONN_2,Connectors:TermiBlockHeader_508_x2_R,0,0,0,0,0,,do not mount,,,,,,
"XL5,",,1,CONN_1,Connectors:PLS-1Rnd,0,0,0,0,0,,,,,,,,
"XL6,",,1,CONN_2,Connectors:W02_Pitch_2d54,"0,37","0,37",0,2,2,,http://www.zip-2002.ru/razyemy/razyemy_pitaniya_nizkovoltnye/55052/w-02_pitch_2.54mm/,,,,,,
"XL7,",,1,IDC5x2,Connectors:IDC-Header_2x5_P2.54mm_Vertical,"2,17","2,17",0,10,10,,http://www.zip-2002.ru/razyemy/idc/55005/bh-10_idc-10ms_/,,,,,,
"XL8,",,1,CONN_40,Connectors:FFC_0d5x40_flip,0,0,0,0,0,,do not mount,,,,,,
"XL9,",,1,CONN_5,Connectors:SLD_5_2D5,0,0,0,0,0,,do not mount,,,,,,
"XTAL1,",,1,12MHz,Quartz:03225C4,15,15,4,,4,,http://www.quartz1.com/price/model.php?akt=10298.16,,,,,,
"XTAL2,",,1,32768,Quartz:03215C2,20,20,4,0,4,,http://www.quartz1.com/price/model.php?akt=7.18,,,,,,
"XTAL3,",,1,32MHz,Quartz:03225C4,30,30,4,0,4,,http://www.quartz1.com/price/model.php?akt=6809.18,,,,,,
